Date,Open Price,High Price,Low Price,Close Price
2022-11-27T18:30:00.000Z,227.9,234.5,227.75,231.6
2022-11-28T18:30:00.000Z,231.7,235.8,229.85,230.8
2022-11-29T18:30:00.000Z,231.05,233.85,231.05,232.7
2022-11-30T18:30:00.000Z,233.3,234.0,231.1,232.35
2022-12-01T18:30:00.000Z,233.6,233.75,230.2,231.7
2022-12-04T18:30:00.000Z,233.0,233.6,229.1,230.0
2022-12-05T18:30:00.000Z,229.95,230.2,227.9,228.7
2022-12-06T18:30:00.000Z,228.7,230.45,228.0,229.15
2022-12-07T18:30:00.000Z,229.05,232.15,228.25,230.15
2022-12-08T18:30:00.000Z,230.15,232.0,229.1,230.6
2022-12-11T18:30:00.000Z,230.6,233.75,228.9,231.75
2022-12-12T18:30:00.000Z,232.95,232.95,230.3,230.95
2022-12-13T18:30:00.000Z,230.95,233.9,230.95,231.75
2022-12-14T18:30:00.000Z,231.7,232.45,227.1,228.2
2022-12-15T18:30:00.000Z,227.0,229.65,225.5,228.0
2022-12-18T18:30:00.000Z,228.0,230.1,227.9,229.75
2022-12-19T18:30:00.000Z,229.75,230.5,227.3,230.1
2022-12-20T18:30:00.000Z,230.1,231.2,227.0,228.2
2022-12-21T18:30:00.000Z,228.2,229.3,222.7,224.35
2022-12-22T18:30:00.000Z,222.5,224.5,216.0,216.8
2022-12-25T18:30:00.000Z,215.35,219.3,214.6,217.95
2022-12-26T18:30:00.000Z,220.0,222.4,217.1,219.85
2022-12-27T18:30:00.000Z,220.0,221.45,218.3,220.15
2022-12-28T18:30:00.000Z,220.15,220.5,217.0,219.45
2022-12-29T18:30:00.000Z,219.45,220.75,217.0,217.6
2023-01-01T18:30:00.000Z,218.6,218.6,215.9,217.65
2023-01-02T18:30:00.000Z,217.65,221.65,217.65,220.35
2023-01-03T18:30:00.000Z,220.85,220.85,217.0,217.2
2023-01-04T18:30:00.000Z,218.2,222.3,217.25,221.15
2023-01-05T18:30:00.000Z,221.15,222.1,217.5,218.45
2023-01-08T18:30:00.000Z,219.55,220.0,218.05,219.7
2023-01-09T18:30:00.000Z,220.0,222.55,218.55,220.95
2023-01-10T18:30:00.000Z,221.1,222.25,218.8,219.75
2023-01-11T18:30:00.000Z,220.7,220.75,217.6,219.45
2023-01-12T18:30:00.000Z,220.5,220.95,217.25,218.0
2023-01-15T18:30:00.000Z,218.15,218.8,214.55,215.35
2023-01-15T18:30:00.000Z,218.15,218.8,214.55,215.35
2023-01-16T18:30:00.000Z,216.1,216.15,213.9,215.4
2023-01-17T18:30:00.000Z,215.4,216.95,214.8,216.15
2023-01-18T18:30:00.000Z,217.25,218.45,212.5,213.85
2023-01-19T18:30:00.000Z,215.0,216.8,214.0,214.4
2023-01-22T18:30:00.000Z,214.45,216.0,212.65,215.25
2023-01-23T18:30:00.000Z,216.35,217.0,211.5,215.25
2023-01-24T18:30:00.000Z,212.55,214.6,211.6,213.9
2023-01-26T18:30:00.000Z,214.2,215.35,209.3,211.9
2023-01-29T18:30:00.000Z,211.95,214.15,209.6,213.35
2023-01-30T18:30:00.000Z,214.0,214.0,211.55,212.85
